Servico.Parlamentares.Parlamentar.IdentificacaoParlamentar.CodigoParlamentar;Servico.Parlamentares.Parlamentar.IdentificacaoParlamentar.CodigoPublicoNaLegAtual;Servico.Parlamentares.Parlamentar.IdentificacaoParlamentar.NomeParlamentar;Servico.Parlamentares.Parlamentar.IdentificacaoParlamentar.NomeCompletoParlamentar;Servico.Parlamentares.Parlamentar.IdentificacaoParlamentar.SexoParlamentar;Servico.Parlamentares.Parlamentar.IdentificacaoParlamentar.FormaTratamento;Servico.Parlamentares.Parlamentar.IdentificacaoParlamentar.UrlFotoParlamentar;Servico.Parlamentares.Parlamentar.IdentificacaoParlamentar.UrlPaginaParlamentar;Servico.Parlamentares.Parlamentar.IdentificacaoParlamentar.UrlPaginaParticular;Servico.Parlamentares.Parlamentar.IdentificacaoParlamentar.EmailParlamentar;Servico.Parlamentares.Parlamentar.IdentificacaoParlamentar.SiglaPartidoParlamentar;Servico.Parlamentares.Parlamentar.IdentificacaoParlamentar.UfParlamentar;Servico.Parlamentares.Parlamentar.Mandatos.Mandato.CodigoMandato;Servico.Parlamentares.Parlamentar.Mandatos.Mandato.UfParlamentar;Servico.Parlamentares.Parlamentar.Mandatos.Mandato.PrimeiraLegislaturaDoMandato.NumeroLegislatura;Servico.Parlamentares.Parlamentar.Mandatos.Mandato.PrimeiraLegislaturaDoMandato.DataInicio;Servico.Parlamentares.Parlamentar.Mandatos.Mandato.PrimeiraLegislaturaDoMandato.DataFim;Servico.Parlamentares.Parlamentar.Mandatos.Mandato.SegundaLegislaturaDoMandato.NumeroLegislatura;Servico.Parlamentares.Parlamentar.Mandatos.Mandato.SegundaLegislaturaDoMandato.DataInicio;Servico.Parlamentares.Parlamentar.Mandatos.Mandato.SegundaLegislaturaDoMandato.DataFim;Servico.Parlamentares.Parlamentar.Mandatos.Mandato.DescricaoParticipacao;Servico.Parlamentares.Parlamentar.Mandatos.Mandato.Titular.DescricaoParticipacao;Servico.Parlamentares.Parlamentar.Mandatos.Mandato.Titular.CodigoParlamentar;Servico.Parlamentares.Parlamentar.Mandatos.Mandato.Titular.NomeParlamentar;Servico.Parlamentares.Parlamentar.Mandatos.Mandato.Suplentes.Suplente.DescricaoParticipacao;Servico.Parlamentares.Parlamentar.Mandatos.Mandato.Suplentes.Suplente.CodigoParlamentar;Servico.Parlamentares.Parlamentar.Mandatos.Mandato.Suplentes.Suplente.NomeParlamentar;Servico.Parlamentares.Parlamentar.Mandatos.Mandato.Exercicios.Exercicio.CodigoExercicio;Servico.Parlamentares.Parlamentar.Mandatos.Mandato.Exercicios.Exercicio.DataInicio;Servico.Parlamentares.Parlamentar.Mandatos.Mandato.Exercicios.Exercicio.DataFim;Servico.Parlamentares.Parlamentar.Mandatos.Mandato.Exercicios.Exercicio.SiglaCausaAfastamento;Servico.Parlamentares.Parlamentar.Mandatos.Mandato.Exercicios.Exercicio.DescricaoCausaAfastamento;Servico.Parlamentares.Parlamentar.Mandatos.Mandato.Exercicios.Exercicio.DataLeitura
;;;;;;;;;;;;592;MT;;;;57;2023-02-01;2027-01-31;Titular;;;;;;;;;;;;
;;;;;;;;;;;;592;MT;;;;;;;Titular;;;;1º Suplente;6304;Margareth Buzetti;;;;;;
;;;;;;;;;;;;592;MT;;;;;;;Titular;;;;2º Suplente;6305;José Esteves de Lacerda Filho;;;;;;
;;;;;;;;;;;;592;MT;;;;;;;Titular;;;;;;;2993;2023-02-01;2023-02-02;AFO;Afastamento do exercício;
;;;;;;;;;;;;592;MT;;;;;;;Titular;;;;;;;2960;2020-12-15;2022-06-07;LCS;Licença com convocação de suplente (sup 120 dias);
;;;;;;;;;;;;582;MT;56;2019-02-01;2023-01-31;;;;Titular;;;;;;;;;;;;
;;;;;;;;;;;;582;MT;;;;57;2023-02-01;2027-01-31;Titular;;;;;;;;;;;;
;;;;;;;;;;;;582;MT;;;;;;;Titular;;;;;;;2954;2020-04-17;2020-12-14;TER;Término do mandato;
6020;;Carlos Milton Morais;Carlos Milton Morais;Masculino;Senador;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;575;RO;56;2019-02-01;2023-01-31;;;;2º Suplente;;;;;;;;;;;;
;;;;;;;;;;;;575;RO;;;;57;2023-02-01;2027-01-31;2º Suplente;;;;;;;;;;;;
;;;;;;;;;;;;575;RO;;;;;;;2º Suplente;Titular;475;Confúcio Moura;;;;;;;;;
;;;;;;;;;;;;575;RO;;;;;;;2º Suplente;;;;1º Suplente;6019;Maria Eliza;;;;;;
5936;949;Carlos Portinho;Carlos Francisco Portinho;Masculino;Senador;http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5936.jpg;http://www25.senado.leg.br/web/senadores/senador/-/perfil/5936;https://carlosportinho.com.br/;sen.carlosportinho@senado.leg.br;PL;RJ;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;545;RJ;56;2019-02-01;2023-01-31;;;;1º Suplente;;;;;;;;;;;;
;;;;;;;;;;;;545;RJ;;;;57;2023-02-01;2027-01-31;1º Suplente;;;;;;;;;;;;
;;;;;;;;;;;;545;RJ;;;;;;;1º Suplente;Titular;751;Arolde de Oliveira;;;;;;;;;
;;;;;;;;;;;;545;RJ;;;;;;;1º Suplente;;;;2º Suplente;5934;Renata Guerra;;;;;;
;;;;;;;;;;;;545;RJ;;;;;;;1º Suplente;;;;;;;2959;2020-11-03;;;;
5990;843;Carlos Viana;Carlos Alberto Dias Viana;Masculino;Senador;http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5990.jpg;http://www25.senado.leg.br/web/senadores/senador/-/perfil/5990;;sen.carlosviana@senado.leg.br;PODEMOS;MG;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;563;MG;56;2019-02-01;2023-01-31;;;;Titular;;;;;;;;;;;;
;;;;;;;;;;;;563;MG;;;;57;2023-02-01;2027-01-31;Titular;;;;;;;;;;;;
;;;;;;;;;;;;563;MG;;;;;;;Titular;;;;1º Suplente;5991;Castellar Guimarães Neto;;;;;;
;;;;;;;;;;;;563;MG;;;;;;;Titular;;;;2º Suplente;5992;Danilo Martins de Oliveira;;;;;;
;;;;;;;;;;;;563;MG;;;;;;;Titular;;;;;;;2892;2019-02-01;;;;
5991;;Castellar Guimarães Neto;Castellar Modesto Guimarães Neto;Masculino;Senador;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;563;MG;56;2019-02-01;2023-01-31;;;;1º Suplente;;;;;;;;;;;;
;;;;;;;;;;;;563;MG;;;;57;2023-02-01;2027-01-31;1º Suplente;;;;;;;;;;;;
;;;;;;;;;;;;563;MG;;;;;;;1º Suplente;Titular;5990;Carlos Viana;;;;;;;;;
;;;;;;;;;;;;563;MG;;;;;;;1º Suplente;;;;2º Suplente;5992;Danilo Martins de Oliveira;;;;;;
6000;;Chamon;João Chamon Neto;Masculino;Senador;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;528;PA;56;2019-02-01;2023-01-31;;;;2º Suplente;;;;;;;;;;;;
;;;;;;;;;;;;528;PA;;;;57;2023-02-01;2027-01-31;2º Suplente;;;;;;;;;;;;
;;;;;;;;;;;;528;PA;;;;;;;2º Suplente;Titular;35;Jader Barbalho;;;;;;;;;
;;;;;;;;;;;;528;PA;;;;;;;2º Suplente;;;;1º Suplente;5999;Helenilson Pontes;;;;;;
6334;;Cheila Moreira;Cheila Vieira Moreira;Feminino;Senadora;;;;;PT;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;619;AM;57;2023-02-01;2027-01-31;;;;1º Suplente;;;;;;;;;;;;
;;;;;;;;;;;;619;AM;;;;58;2027-02-01;2031-01-31;1º Suplente;;;;;;;;;;;;
;;;;;;;;;;;;619;AM;;;;;;;1º Suplente;Titular;5525;Omar Aziz;;;;;;;;;
;;;;;;;;;;;;619;AM;;;;;;;1º Suplente;;;;2º Suplente;4774;João Pedro;;;;;;
470;815;Chico Rodrigues;Francisco de Assis Rodrigues;Masculino;Senador;http://www.senado.leg.br/senadores/img/fotos-oficiais/senador470.jpg;http://www25.senado.leg.br/web/senadores/senador/-/perfil/470;;sen.chicorodrigues@senado.leg.br;PSB;RR;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;577;RR;56;2019-02-01;2023-01-31;;;;Titular;;;;;;;;;;;;
;;;;;;;;;;;;577;RR;;;;57;2023-02-01;2027-01-31;Titular;;;;;;;;;;;;
;;;;;;;;;;;;577;RR;;;;;;;Titular;;;;1º Suplente;6023;Pedro Arthur;;;;;;
;;;;;;;;;;;;577;RR;;;;;;;Titular;;;;2º Suplente;6024;Onésimo Cruz;;;;;;
;;;;;;;;;;;;577;RR;;;;;;;Titular;;;;;;;2965;2021-02-18;;;;
;;;;;;;;;;;;577;RR;;;;;;;Titular;;;;;;;2905;2019-02-01;2020-10-20;LP;Licença Particular;
5973;825;Cid Gomes;Cid Ferreira Gomes;Masculino;Senador;http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5973.jpg;http://www25.senado.leg.br/web/senadores/senador/-/perfil/5973;https://cidgomes.com.br/;sen.cidgomes@senado.leg.br;PDT;CE;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;556;CE;56;2019-02-01;2023-01-31;;;;Titular;;;;;;;;;;;;
;;;;;;;;;;;;556;CE;;;;57;2023-02-01;2027-01-31;Titular;;;;;;;;;;;;
;;;;;;;;;;;;556;CE;;;;;;;Titular;;;;1º Suplente;5971;Prisco Bezerra;;;;;;
;;;;;;;;;;;;556;CE;;;;;;;Titular;;;;2º Suplente;5972;Julio Ventura;;;;;;
;;;;;;;;;;;;556;CE;;;;;;;Titular;;;;;;;3006;2023-01-04;;;;
;;;;;;;;;;;;556;CE;;;;;;;Titular;;;;;;;2953;2020-04-11;2022-09-05;LCS;Licença com convocação de suplente (sup 120 dias);
;;;;;;;;;;;;556;CE;;;;;;;Titular;;;;;;;2895;2019-02-01;2019-12-11;LP;Licença Particular;
739;811;Ciro Nogueira;Ciro Nogueira Lima Filho;Masculino;Senador;http://www.senado.leg.br/senadores/img/fotos-oficiais/senador739.jpg;http://www25.senado.leg.br/web/senadores/senador/-/perfil/739;http://senadorciro.com.br/;ciro.nogueira@senado.leg.br;PP;PI;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;524;PI;56;2019-02-01;2023-01-31;;;;Titular;;;;;;;;;;;;
;;;;;;;;;;;;524;PI;;;;57;2023-02-01;2027-01-31;Titular;;;;;;;;;;;;
;;;;;;;;;;;;524;PI;;;;;;;Titular;;;;1º Suplente;5898;Eliane Nogueira;;;;;;
;;;;;;;;;;;;524;PI;;;;;;;Titular;;;;2º Suplente;5900;Gil Paraibano;;;;;;
;;;;;;;;;;;;524;PI;;;;;;;Titular;;;;;;;3004;2022-12-30;;;;
;;;;;;;;;;;;524;PI;;;;;;;Titular;;;;;;;2896;2019-02-01;2021-07-27;AFO;Afastamento do exercício;
6337;873;Cleitinho;Cleiton Gontijo de Azevedo;Masculino;Senador;http://www.senado.leg.br/senadores/img/fotos-oficiais/senador6337.jpg;http://www25.senado.leg.br/web/senadores/senador/-/perfil/6337;;sen.cleitinho@senado.leg.br;REPUBLICANOS;MG;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;603;MG;57;2023-02-01;2027-01-31;;;;Titular;;;;;;;;;;;;
;;;;;;;;;;;;603;MG;;;;58;2027-02-01;2031-01-31;Titular;;;;;;;;;;;;
;;;;;;;;;;;;603;MG;;;;;;;Titular;;;;1º Suplente;6360;Alex Diniz;;;;;;
;;;;;;;;;;;;603;MG;;;;;;;Titular;;;;2º Suplente;6361;Wander de Souza;;;;;;
;;;;;;;;;;;;603;MG;;;;;;;Titular;;;;;;;3034;2023-02-01;;;;
6017;;Cleonice Back;Cleonice Fabiane Back;Feminino;Senadora;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;523;RS;56;2019-02-01;2023-01-31;;;;1º Suplente;;;;;;;;;;;;
;;;;;;;;;;;;523;RS;;;;57;2023-02-01;2027-01-31;1º Suplente;;;;;;;;;;;;
;;;;;;;;;;;;523;RS;;;;;;;1º Suplente;Titular;825;Paulo Paim;;;;;;;;;
;;;;;;;;;;;;523;RS;;;;;;;1º Suplente;;;;2º Suplente;6018;Reginete Bispo;;;;;;
5933;;Clerie Fabiana;Clérie Fabiana Mendes;Masculino;Senador;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;544;MT;56;2019-02-01;2023-01-31;;;;2º Suplente;;;;;;;;;;;;
;;;;;;;;;;;;544;MT;;;;57;2023-02-01;2027-01-31;2º Suplente;;;;;;;;;;;;
;;;;;;;;;;;;544;MT;;;;;;;2º Suplente;Titular;5929;Juíza Selma;;;;;;;;;
;;;;;;;;;;;;544;MT;;;;;;;2º Suplente;;;;1º Suplente;5932;Beto Possamai;;;;;;
475;867;Confúcio Moura;Confúcio Aires Moura;Masculino;Senador;http://www.senado.leg.br/senadores/img/fotos-oficiais/senador475.jpg;http://www25.senado.leg.br/web/senadores/senador/-/perfil/475;https://senadorconfucio.com.br/;sen.confuciomoura@senado.leg.br;MDB;RO;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;575;RO;56;2019-02-01;2023-01-31;;;;Titular;;;;;;;;;;;;
;;;;;;;;;;;;575;RO;;;;57;2023-02-01;2027-01-31;Titular;;;;;;;;;;;;
;;;;;;;;;;;;575;RO;;;;;;;Titular;;;;1º Suplente;6019;Maria Eliza;;;;;;
;;;;;;;;;;;;575;RO;;;;;;;Titular;;;;2º Suplente;6020;Carlos Milton Morais;;;;;;
;;;;;;;;;;;;575;RO;;;;;;;Titular;;;;;;;2974;2022-01-25;;;;
;;;;;;;;;;;;575;RO;;;;;;;Titular;;;;;;;2897;2019-02-01;2021-09-24;LCS;Licença com convocação de suplente (sup 120 dias);
6380;;Coronel Andreuzza;Mario Giussepp Santezzi Bertottelli Andreuzza;Masculino;Senador;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;612;RS;57;2023-02-01;2027-01-31;;;;2º Suplente;;;;;;;;;;;;
;;;;;;;;;;;;612;RS;;;;58;2027-02-01;2031-01-31;2º Suplente;;;;;;;;;;;;
;;;;;;;;;;;;612;RS;;;;;;;2º Suplente;Titular;6341;Hamilton Mourão;;;;;;;;;
;;;;;;;;;;;;612;RS;;;;;;;2º Suplente;;;;1º Suplente;6112;Liziane Bayer;;;;;;
6344;;Coronel Casagrande;Michel Negreiros Casagrande;Masculino;Senador;;;;;UNIÃO;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;596;AC;57;2023-02-01;2027-01-31;;;;2º Suplente;;;;;;;;;;;;
;;;;;;;;;;;;596;AC;;;;58;2027-02-01;2031-01-31;2º Suplente;;;;;;;;;;;;
;;;;;;;;;;;;596;AC;;;;;;;2º Suplente;Titular;5672;Alan Rick;;;;;;;;;
;;;;;;;;;;;;596;AC;;;;;;;2º Suplente;;;;1º Suplente;6343;Gemil Junior;;;;;;
5963;;Coronel Margarida;Margarida Brandão Fernandes de Araújo;Masculino;Senador;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;550;RN;56;2019-02-01;2023-01-31;;;;2º Suplente;;;;;;;;;;;;
;;;;;;;;;;;;550;RN;;;;57;2023-02-01;2027-01-31;2º Suplente;;;;;;;;;;;;
;;;;;;;;;;;;550;RN;;;;;;;2º Suplente;Titular;5959;Styvenson Valentim;;;;;;;;;
;;;;;;;;;;;;550;RN;;;;;;;2º Suplente;;;;1º Suplente;5962;Alisson Taveira;;;;;;
5960;;Cândida Farias;Cândida dos Santos Farias;Masculino;Senador;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;553;MT;56;2019-02-01;2023-01-31;;;;2º Suplente;;;;;;;;;;;;
;;;;;;;;;;;;553;MT;;;;57;2023-02-01;2027-01-31;2º Suplente;;;;;;;;;;;;
;;;;;;;;;;;;553;MT;;;;;;;2º Suplente;Titular;4531;Jayme Campos;;;;;;;;;
;;;;;;;;;;;;553;MT;;;;;;;2º Suplente;;;;1º Suplente;5740;Fabio Garcia;;;;;;
6335;866;Damares Alves;Damares Regina Alves;Feminino;Senadora;http://www.senado.leg.br/senadores/img/fotos-oficiais/senador6335.jpg;http://www25.senado.leg.br/web/senadores/senador/-/perfil/6335;;sen.damaresalves@senado.leg.br;REPUBLICANOS;DF;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;599;DF;57;2023-02-01;2027-01-31;;;;Titular;;;;;;;;;;;;
;;;;;;;;;;;;599;DF;;;;58;2027-02-01;2031-01-31;Titular;;;;;;;;;;;;
;;;;;;;;;;;;599;DF;;;;;;;Titular;;;;1º Suplente;6352;Manoel Arruda;;;;;;
;;;;;;;;;;;;599;DF;;;;;;;Titular;;;;2º Suplente;6353;Pastor Egmar;;;;;;
;;;;;;;;;;;;599;DF;;;;;;;Titular;;;;;;;3018;2023-02-01;;;;
5998;820;Daniella Ribeiro;Daniella Velloso Borges Ribeiro;Feminino;Senadora;http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5998.jpg;http://www25.senado.leg.br/web/senadores/senador/-/perfil/5998;;sen.daniellaribeiro@senado.leg.br;PSD;PB;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;565;PB;56;2019-02-01;2023-01-31;;;;Titular;;;;;;;;;;;;
;;;;;;;;;;;;565;PB;;;;57;2023-02-01;2027-01-31;Titular;;;;;;;;;;;;
;;;;;;;;;;;;565;PB;;;;;;;Titular;;;;1º Suplente;5996;Diego Tavares;;;;;;
;;;;;;;;;;;;565;PB;;;;;;;Titular;;;;2º Suplente;5997;Nailde Panta;;;;;;
;;;;;;;;;;;;565;PB;;;;;;;Titular;;;;;;;2964;2021-01-22;;;;
;;;;;;;;;;;;565;PB;;;;;;;Titular;;;;;;;2898;2019-02-01;2020-09-23;LP;Licença Particular;
5992;;Danilo Martins de Oliveira;Danilo Martins de Oliveira;Masculino;Senador;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;563;MG;56;2019-02-01;2023-01-31;;;;2º Suplente;;;;;;;;;;;;
;;;;;;;;;;;;563;MG;;;;57;2023-02-01;2027-01-31;2º Suplente;;;;;;;;;;;;
;;;;;;;;;;;;563;MG;;;;;;;2º Suplente;Titular;5990;Carlos Viana;;;;;;;;;
;;;;;;;;;;;;563;MG;;;;;;;2º Suplente;;;;1º Suplente;5991;Castellar Guimarães Neto;;;;;;
5987;;Danny Fabricio;Danny Fabricio Cabral Gomes;Masculino;Senador;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;561;MS;56;2019-02-01;2023-01-31;;;;2º Suplente;;;;;;;;;;;;
;;;;;;;;;;;;561;MS;;;;57;2023-02-01;2027-01-31;2º Suplente;;;;;;;;;;;;
;;;;;;;;;;;;561;MS;;;;;;;2º Suplente;Titular;5988;Soraya Thronicke;;;;;;;;;
;;;;;;;;;;;;561;MS;;;;;;;2º Suplente;;;;1º Suplente;5986;Rodolfo Nogueira;;;;;;
3830;834;Davi Alcolumbre;David Samuel Alcolumbre Tobelem;Masculino;Senador;http://www.senado.leg.br/senadores/img/fotos-oficiais/senador3830.jpg;http://www25.senado.leg.br/web/senadores/senador/-/perfil/3830;;sen.davialcolumbre@senado.leg.br;UNIÃO;AP;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;618;AP;57;2023-02-01;2027-01-31;;;;Titular;;;;;;;;;;;;
;;;;;;;;;;;;618;AP;;;;58;2027-02-01;2031-01-31;Titular;;;;;;;;;;;;
;;;;;;;;;;;;618;AP;;;;;;;Titular;;;;1º Suplente;5569;Josiel;;;;;;
;;;;;;;;;;;;618;AP;;;;;;;Titular;;;;2º Suplente;6347;Breno;;;;;;
;;;;;;;;;;;;618;AP;;;;;;;Titular;;;;;;;3021;2023-02-01;;;;
5837;;Davidson Magalhães;Davidson de Magalhães Santos;Masculino;Senador;;;;;PCdoB;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;554;BA;56;2019-02-01;2023-01-31;;;;1º Suplente;;;;;;;;;;;;
;;;;;;;;;;;;554;BA;;;;57;2023-02-01;2027-01-31;1º Suplente;;;;;;;;;;;;
;;;;;;;;;;;;554;BA;;;;;;;1º Suplente;Titular;5967;Angelo Coronel;;;;;;;;;
;;;;;;;;;;;;554;BA;;;;;;;1º Suplente;;;;2º Suplente;5056;Silvia Nascimento Cardoso dos Santos Cerqueira;;;;;;
6012;;Denise dos Santos;Denise Antunes dos Santos;Feminino;Senadora;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;572;SC;56;2019-02-01;2023-01-31;;;;2º Suplente;;;;;;;;;;;;
;;;;;;;;;;;;572;SC;;;;57;2023-02-01;2027-01-31;2º Suplente;;;;;;;;;;;;
;;;;;;;;;;;;572;SC;;;;;;;2º Suplente;Titular;22;Esperidião Amin;;;;;;;;;
;;;;;;;;;;;;572;SC;;;;;;;2º Suplente;;;;1º Suplente;196;Geraldo Althoff;;;;;;
6377;;Dheep Rover;Jair Rover;Masculino;Senador;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;610;RO;57;2023-02-01;2027-01-31;;;;2º Suplente;;;;;;;;;;;;
;;;;;;;;;;;;610;RO;;;;58;2027-02-01;2031-01-31;2º Suplente;;;;;;;;;;;;
;;;;;;;;;;;;610;RO;;;;;;;2º Suplente;Titular;6340;Jaime Bagattoli;;;;;;;;;
;;;;;;;;;;;;610;RO;;;;;;;2º Suplente;;;;1º Suplente;5617;Pastor Valadares;;;;;;
5996;947;Diego Tavares;Marcio Diego Fernandes Tavares de Albuquerque;Masculino;Senador;http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5996.jpg;http://www25.senado.leg.br/web/senadores/senador/-/perfil/5996;;sen.diegotavares@senado.leg.br;PP;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;565;PB;56;2019-02-01;2023-01-31;;;;1º Suplente;;;;;;;;;;;;
;;;;;;;;;;;;565;PB;;;;57;2023-02-01;2027-01-31;1º Suplente;;;;;;;;;;;;
;;;;;;;;;;;;565;PB;;;;;;;1º Suplente;Titular;5998;Daniella Ribeiro;;;;;;;;;
;;;;;;;;;;;;565;PB;;;;;;;1º Suplente;;;;2º Suplente;5997;Nailde Panta;;;;;;
;;;;;;;;;;;;565;PB;;;;;;;1º Suplente;;;;;;;2957;2020-09-23;2021-01-01;AFO;Afastamento do exercício;
5975;;Dr. Guimarães;Francisco José Alves Guimaraes;Masculino;Senador;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;557;CE;56;2019-02-01;2023-01-31;;;;2º Suplente;;;;;;;;;;;;
;;;;;;;;;;;;557;CE;;;;57;2023-02-01;2027-01-31;2º Suplente;;;;;;;;;;;;
;;;;;;;;;;;;557;CE;;;;;;;2º Suplente;Titular;5976;Eduardo Girão;;;;;;;;;
;;;;;;;;;;;;557;CE;;;;;;;2º Suplente;;;;1º Suplente;5974;Sargento Reginaldo;;;;;;
5793;893;Dr. Hiran;Hiran Manuel Gonçalves da Silva;Masculino;Senador;http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5793.jpg;http://www25.senado.leg.br/web/senadores/senador/-/perfil/5793;;sen.drhiran@senado.leg.br;PP;RR;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;611;RR;57;2023-02-01;2027-01-31;;;;Titular;;;;;;;;;;;;
;;;;;;;;;;;;611;RR;;;;58;2027-02-01;2031-01-31;Titular;;;;;;;;;;;;
;;;;;;;;;;;;611;RR;;;;;;;Titular;;;;1º Suplente;6378;Jr Rodrigues;;;;;;
;;;;;;;;;;;;611;RR;;;;;;;Titular;;;;2º Suplente;6379;Aline Rezende;;;;;;
;;;;;;;;;;;;611;RR;;;;;;;Titular;;;;;;;3027;2023-02-01;;;;
6021;924;Dr. Samuel Araújo;Samuel Pereira de Araujo;Masculino;Senador;http://www.senado.leg.br/senadores/img/fotos-oficiais/senador6021.jpg;http://www25.senado.leg.br/web/senadores/senador/-/perfil/6021;;sen.drsamuelaraujo@senado.leg.br;PSD;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;576;RO;56;2019-02-01;2023-01-31;;;;1º Suplente;;;;;;;;;;;;
;;;;;;;;;;;;576;RO;;;;57;2023-02-01;2027-01-31;1º Suplente;;;;;;;;;;;;
;;;;;;;;;;;;576;RO;;;;;;;1º Suplente;Titular;5422;Marcos Rogério;;;;;;;;;
;;;;;;;;;;;;576;RO;;;;;;;1º Suplente;;;;2º Suplente;6022;Pastor Severino;;;;;;
;;;;;;;;;;;;576;RO;;;;;;;1º Suplente;;;;;;;3001;2022-12-15;2023-06-11;RET;Retorno do titular;
5906;907;Dra. Eudócia;Eudocia Maria Holanda de Araujo Caldas;Feminino;Senadora;http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5906.jpg;http://www25.senado.leg.br/web/senadores/senador/-/perfil/5906;;sen.draeudocia@senado.leg.br;PSB;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;537;AL;56;2019-02-01;2023-01-31;;;;1º Suplente;;;;;;;;;;;;
;;;;;;;;;;;;537;AL;;;;57;2023-02-01;2027-01-31;1º Suplente;;;;;;;;;;;;
;;;;;;;;;;;;537;AL;;;;;;;1º Suplente;Titular;5905;Rodrigo Cunha;;;;;;;;;
;;;;;;;;;;;;537;AL;;;;;;;1º Suplente;;;;2º Suplente;5907;Henrique Arruda;;;;;;
;;;;;;;;;;;;537;AL;;;;;;;1º Suplente;;;;;;;2978;2022-05-24;2022-09-21;RET;Retorno do titular;
6016;;Drica de Lucena;Adriana de Lucena Francisco;Feminino;Senadora;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;574;RS;56;2019-02-01;2023-01-31;;;;2º Suplente;;;;;;;;;;;;
;;;;;;;;;;;;574;RS;;;;57;2023-02-01;2027-01-31;2º Suplente;;;;;;;;;;;;
;;;;;;;;;;;;574;RS;;;;;;;2º Suplente;Titular;1186;Luis Carlos Heinze;;;;;;;;;
;;;;;;;;;;;;574;RS;;;;;;;2º Suplente;;;;1º Suplente;6015;Ireneu Orth;;;;;;
4994;802;Eduardo Braga;Carlos Eduardo de Souza Braga;Masculino;Senador;http://www.senado.leg.br/senadores/img/fotos-oficiais/senador4994.jpg;http://www25.senado.leg.br/web/senadores/senador/-/perfil/4994;;sen.eduardobraga@senado.leg.br;MDB;AM;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;521;AM;56;2019-02-01;2023-01-31;;;;Titular;;;;;;;;;;;;
;;;;;;;;;;;;521;AM;;;;57;2023-02-01;2027-01-31;Titular;;;;;;;;;;;;
;;;;;;;;;;;;521;AM;;;;;;;Titular;;;;1º Suplente;5038;Sandra Braga;;;;;;
;;;;;;;;;;;;521;AM;;;;;;;Titular;;;;2º Suplente;5935;Miguel Biango;;;;;;
;;;;;;;;;;;;521;AM;;;;;;;Titular;;;;;;;2893;2019-02-01;;;;
5976;826;Eduardo Girão;Luis Eduardo Grangeiro Girão;Masculino;Senador;http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5976.jpg;http://www25.senado.leg.br/web/senadores/senador/-/perfil/5976;;sen.eduardogirao@senado.leg.br;NOVO;CE;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;557;CE;56;2019-02-01;2023-01-31;;;;Titular;;;;;;;;;;;;
;;;;;;;;;;;;557;CE;;;;57;2023-02-01;2027-01-31;Titular;;;;;;;;;;;;
;;;;;;;;;;;;557;CE;;;;;;;Titular;;;;1º Suplente;5974;Sargento Reginaldo;;;;;;
